,latitude,longitude,azimuth,elevation
269,27.00658058,72.57089578,225.93,54.54
270,26.89039507,72.53978212,225.21,53.92
271,26.77420672,72.50871559,224.52,53.30
272,26.65801324,72.47769523,223.86,52.69
273,26.54181231,72.44672012,223.22,52.08
274,26.48371345,72.43125058,222.91,51.78
275,26.36750492,72.40034365,222.32,51.17
276,26.25129370,72.36948238,221.74,50.58
277,26.13507515,72.33866524,221.19,49.98
278,26.01885396,72.30789314,220.66,49.39
279,25.90262784,72.27716515,220.15,48.81
280,25.84451294,72.26181759,219.90,48.52
281,25.72827948,72.23115518,219.42,47.94
282,25.61203882,72.20053549,218.95,47.37
283,25.49579567,72.16995944,218.51,46.80
284,25.43767229,72.15468745,218.29,46.52
285,25.32142195,72.12417538,217.86,45.97
286,25.20516452,72.09370496,217.45,45.42
287,25.08890471,72.06327712,217.06,44.87
288,24.97264021,72.03289096,216.68,44.33
289,24.91450621,72.01771341,216.49,44.06
290,24.79823239,71.98738859,216.13,43.53
291,24.68195628,71.95710531,215.77,43.01
292,24.56567559,71.92686268,215.43,42.49
293,24.44939035,71.89666039,215.10,41.98
294,24.33310057,71.86649817,214.78,41.47
295,24.27495165,71.85143139,214.63,41.22
296,24.15865514,71.82132873,214.32,40.72
297,24.04235417,71.79126541,214.03,40.23
298,23.92604877,71.76124116,213.74,39.74
299,23.80973664,71.73125510,213.46,39.26
300,23.69342248,71.70130814,213.19,38.79
301,23.63526377,71.68634901,213.06,38.55
302,23.51894311,71.65645929,212.80,38.09
303,23.40261582,71.62660678,212.55,37.63
304,23.28628660,71.59679242,212.31,37.17
305,23.16995313,71.56701531,212.07,36.72
306,23.05361312,71.53727461,211.84,36.28
307,22.99544272,71.52241834,211.72,36.06
308,22.87909878,71.49273323,211.50,35.62
309,22.76275071,71.46308443,211.29,35.19
310,22.64639618,71.43347110,211.08,34.77
311,22.53003992,71.40389417,210.87,34.35
312,22.47186026,71.38911904,210.77,34.14
313,22.35549792,71.35959530,210.57,33.73
314,22.23912922,71.33010610,210.38,33.32
315,22.12275888,71.30065239,210.19,32.92
316,22.00638459,71.27123329,210.01,32.52
317,21.94819596,71.25653665,209.92,32.33
318,21.83181578,71.22716901,209.74,31.94
319,21.71542936,71.19783476,209.57,31.55
320,21.59904143,71.16853484,209.40,31.17
321,21.48264966,71.13926839,209.24,30.79
322,21.36625409,71.11003518,209.08,30.42
323,21.30805254,71.09543037,209.00,30.24
324,21.19165131,71.06624653,208.84,29.87
325,21.07524633,71.03709531,208.69,29.51
326,20.95883765,71.00797644,208.54,29.16
327,20.84242294,70.97888911,208.40,28.80
328,20.78421538,70.96435771,208.33,28.63
329,20.66779753,70.93531869,208.19,28.28
330,20.55137607,70.90631118,208.05,27.94
331,20.43495102,70.87733495,207.92,27.60
332,20.31852005,70.84838916,207.78,27.27
333,20.26030442,70.83392813,207.72,27.10
334,20.14387050,70.80502903,207.59,26.78
335,20.02743309,70.77616038,207.47,26.45
336,19.91098986,70.74732136,207.35,26.13
