,latitude,longitude,azimuth,elevation
326,21.72152483,68.01787372,213.42,26.03
327,21.60512836,67.98857030,213.24,25.72
328,21.48873043,67.95930097,213.08,25.42
329,21.43053004,67.94467880,212.99,25.27
330,21.31412645,67.91545925,212.83,24.97
331,21.19771912,67.88627259,212.67,24.67
332,21.13951172,67.87169092,212.59,24.52
333,21.02309884,67.84255311,212.43,24.23
334,20.90668228,67.81344756,212.28,23.94
335,20.84847030,67.79890623,212.20,23.79
336,20.73204829,67.76984862,212.05,23.51
337,20.67383593,67.75533170,211.98,23.37
338,20.55740853,67.72632148,211.83,23.08
339,20.44097757,67.69734256,211.69,22.80
340,20.38276076,67.68286476,211.62,22.67
341,20.26632216,67.65393175,211.48,22.39
342,20.14988241,67.62503002,211.35,22.12
343,20.09166123,67.61059059,211.28,21.98
344,19.97521628,67.58173446,211.15,21.72
345,19.85876557,67.55290787,211.02,21.45
346,19.80054010,67.53850608,210.95,21.32
347,19.68408663,67.50972480,210.82,21.06
348,19.56762980,67.48097305,210.70,20.80
349,19.50939779,67.46660759,210.64,20.67
350,19.39293596,67.43789970,210.51,20.42
351,19.27647083,67.40922077,210.39,20.16
352,19.21823704,67.39489209,210.34,20.04
353,19.10176468,67.36625559,210.22,19.79
354,18.98529142,67.33764806,210.10,19.54
355,18.92705359,67.32335487,210.05,19.42
356,18.81057553,67.29478950,209.93,19.17
357,18.75233531,67.28051727,209.88,19.05
358,18.63585251,67.25199356,209.77,18.81
359,18.51936424,67.22349678,209.66,18.57
360,18.46112011,67.20925892,209.61,18.46
361,18.34462954,67.18080354,209.50,18.22
362,18.22813590,67.15237511,209.40,17.99
363,18.16988560,67.13817037,209.35,17.87
364,18.05338741,67.10978195,209.24,17.64
365,17.93688622,67.08141995,209.14,17.42
366,17.87863451,67.06724878,209.10,17.30
367,17.76212652,67.03892540,209.00,17.08
368,17.64561794,67.01062847,208.90,16.85
369,17.58736256,66.99648963,208.85,16.74
370,17.47084962,66.96823110,208.76,16.52
371,17.35433146,66.93999734,208.67,16.31
372,17.29607483,66.92589075,208.62,16.20
373,17.17955240,66.89769460,208.53,15.98
374,17.12129131,66.88360612,208.49,15.87
375,17.00476702,66.85544768,208.40,15.66
376,16.88823996,66.82731374,208.31,15.45
377,16.82997306,66.81325533,208.27,15.35
378,16.71344188,66.78515775,208.18,15.14
379,16.59690800,66.75708415,208.10,14.93
380,16.48037143,66.72903434,208.01,14.73
381,16.42209980,66.71501772,207.97,14.62
382,16.30555925,66.68700319,207.89,14.42
383,16.24728798,66.67300467,207.85,14.32
384,16.13074350,66.64502498,207.77,14.12
385,16.01419409,66.61706769,207.69,13.92
386,15.89764446,66.58913373,207.61,13.72
387,15.83936869,66.57517523,207.57,13.63
388,15.72281526,66.54727505,207.50,13.43
389,15.60625699,66.51939659,207.42,13.24
390,15.54797810,66.50546592,207.38,13.14
391,15.43141846,66.47762105,207.31,12.95
392,15.31485639,66.44979796,207.24,12.76
393,15.25657445,66.43589452,207.20,12.67
394,15.14000876,66.40810373,207.13,12.48
395,15.02343835,66.38033367,207.06,12.29
396,14.96515343,66.36645685,207.03,12.20
397,14.84858184,66.33871892,206.96,12.01
398,14.73200794,66.31100180,206.89,11.83
399,14.67371778,66.29715043,206.85,11.74
400,14.55714044,66.26946416,206.79,11.56
401,14.44056085,66.24179823,206.72,11.38
402,14.38227022,66.22797282,206.69,11.29
403,14.26568494,66.20033647,206.62,11.11
404,14.14909981,66.17272053,206.56,10.94
405,14.09080643,66.15891994,206.53,10.85
406,13.97421805,66.13133343,206.46,10.67
407,13.91592305,66.11754746,206.43,10.59
408,13.79932913,66.08998940,206.37,10.41
409,13.68273546,66.06245101,206.31,10.24
410,13.56613970,66.03493153,206.25,10.07
411,13.50784105,66.02117883,206.22,9.98
412,13.39123989,65.99368684,206.16,9.82
413,13.33293972,65.97994806,206.13,9.73
414,13.21633788,65.95248424,206.07,9.56
415,13.09973406,65.92503861,206.01,9.40
416,13.04142907,65.91132201,205.99,9.31
417,12.92482232,65.88390332,205.93,9.15
418,12.80821365,65.85650236,205.87,8.99
419,12.74990860,65.84280847,205.84,8.90
420,12.63329475,65.81543322,205.79,8.74
421,12.51668138,65.78807580,205.74,8.58
422,12.45837400,65.77440352,205.71,8.50
423,12.34175789,65.74707168,205.65,8.34
424,12.22513996,65.71975668,205.60,8.18
425,12.16683033,65.70610544,205.58,8.10
426,12.05020741,65.67881481,205.52,7.94
427,11.93358508,65.65154112,205.47,7.79
428,11.87527327,65.63791037,205.45,7.71
429,11.75864837,65.61066093,205.40,7.56
430,11.64201944,65.58342690,205.35,7.40
431,11.58370552,65.56981609,205.32,7.32
432,11.46707645,65.54260621,205.27,7.17
433,11.35044575,65.51541184,205.22,7.02
434,11.29212745,65.50181987,205.20,6.94
435,11.17549436,65.47464845,205.15,6.79
436,11.11717722,65.46106841,205.13,6.72
437,11.00054178,65.43391955,205.08,6.57
438,10.88390246,65.40678497,205.03,6.42
439,10.82558576,65.39322401,205.01,6.35
440,10.70894418,65.36611134,204.96,6.20
441,10.59230347,65.33901362,204.92,6.05
442,10.53398257,65.32547010,204.89,5.98
443,10.41733970,65.29839366,204.85,5.83
444,10.30069306,65.27133064,204.80,5.69
445,10.24237039,65.25780459,204.78,5.62
446,10.12572401,65.23076276,204.74,5.47
447,10.00907628,65.20373448,204.69,5.33
448,9.95074956,65.19022482,204.67,5.26
449,9.83409983,65.16321656,204.63,5.12
450,9.71744879,65.13622142,204.59,4.98
451,9.65912279,65.12272872,204.57,4.91
